entry,at,order
"The player ""failing235 @ -b3KrGCTsz"" quits the game with a stack of 370000.",2025-12-09T04:19:31.721Z,176525397172100
"The player ""Nate Higgers @ s9p1qZMXYl"" quits the game with a stack of 0.",2025-12-09T04:19:23.920Z,176525396392000
"-- ending hand #89 --",2025-12-09T04:19:17.913Z,176525395791301
"""failing235 @ -b3KrGCTsz"" collected 340000 from pot with Four of a Kind, 6's (combination: 6♥, 6♦, 6♠, 6♣, J♣)",2025-12-09T04:19:17.913Z,176525395791300
"River: 10♠, 6♠, 6♣, J♣ [8♠]",2025-12-09T04:19:13.856Z,176525395385600
"Turn: 10♠, 6♠, 6♣ [J♣]",2025-12-09T04:19:09.794Z,176525394979400
"Flop:  [10♠, 6♠, 6♣]",2025-12-09T04:19:05.790Z,176525394579000
"""Nate Higgers @ s9p1qZMXYl"" shows a Q♥, 9♠.",2025-12-09T04:19:01.762Z,176525394176202
"""failing235 @ -b3KrGCTsz"" shows a 6♥, 6♦.",2025-12-09T04:19:01.762Z,176525394176201
"Uncalled bet of 30000 returned to ""failing235 @ -b3KrGCTsz""",2025-12-09T04:19:01.762Z,176525394176200
"Some players choose to not run it twice.",2025-12-09T04:19:00.929Z,176525394092901
"""failing235 @ -b3KrGCTsz"" chooses to not run it twice.",2025-12-09T04:19:00.929Z,176525394092900
"Remaining players decide whether to run it twice.",2025-12-09T04:18:59.449Z,176525393944901
"""Nate Higgers @ s9p1qZMXYl"" calls 170000 and go all in",2025-12-09T04:18:59.449Z,176525393944900
"""failing235 @ -b3KrGCTsz"" raises to 200000 and go all in",2025-12-09T04:18:58.401Z,176525393840100
"""Nate Higgers @ s9p1qZMXYl"" posts a big blind of 100",2025-12-09T04:18:56.151Z,176525393615105
"""failing235 @ -b3KrGCTsz"" posts a small blind of 50",2025-12-09T04:18:56.151Z,176525393615104
"Your hand is Q♥, 9♠",2025-12-09T04:18:56.151Z,176525393615103
"Player stacks: #1 ""failing235 @ -b3KrGCTsz"" (200000) | #2 ""Nate Higgers @ s9p1qZMXYl"" (170000)",2025-12-09T04:18:56.151Z,176525393615101
"-- starting hand #89 (id: vdy0zomwqzdn)  (No Limit Texas Hold'em) (dealer: ""failing235 @ -b3KrGCTsz"") --",2025-12-09T04:18:56.151Z,176525393615100
"""failing235 @ -b3KrGCTsz"" shows a 9♣.",2025-12-09T04:18:51.050Z,176525393105000
"""failing235 @ -b3KrGCTsz"" shows a 10♦.",2025-12-09T04:18:50.996Z,176525393099600
"-- ending hand #88 --",2025-12-09T04:18:49.545Z,176525392954502
"""failing235 @ -b3KrGCTsz"" collected 100 from pot",2025-12-09T04:18:49.545Z,176525392954501
"Uncalled bet of 50 returned to ""failing235 @ -b3KrGCTsz""",2025-12-09T04:18:49.545Z,176525392954500
"""Nate Higgers @ s9p1qZMXYl"" folds",2025-12-09T04:18:48.718Z,176525392871800
"""failing235 @ -b3KrGCTsz"" posts a big blind of 100",2025-12-09T04:18:42.491Z,176525392249105
"""Nate Higgers @ s9p1qZMXYl"" posts a small blind of 50",2025-12-09T04:18:42.491Z,176525392249104
"Your hand is 4♣, 9♥",2025-12-09T04:18:42.491Z,176525392249103
"Player stacks: #1 ""failing235 @ -b3KrGCTsz"" (199950) | #2 ""Nate Higgers @ s9p1qZMXYl"" (170050)",2025-12-09T04:18:42.491Z,176525392249101
"-- starting hand #88 (id: yxbt878qjttc)  (No Limit Texas Hold'em) (dealer: ""Nate Higgers @ s9p1qZMXYl"") --",2025-12-09T04:18:42.491Z,176525392249100
"-- ending hand #87 --",2025-12-09T04:18:39.582Z,176525391958202
"""Nate Higgers @ s9p1qZMXYl"" collected 100 from pot",2025-12-09T04:18:39.582Z,176525391958201
"Uncalled bet of 50 returned to ""Nate Higgers @ s9p1qZMXYl""",2025-12-09T04:18:39.582Z,176525391958200
"""failing235 @ -b3KrGCTsz"" folds",2025-12-09T04:18:38.766Z,176525391876600
"""Nate Higgers @ s9p1qZMXYl"" posts a big blind of 100",2025-12-09T04:18:37.490Z,176525391749005
"""failing235 @ -b3KrGCTsz"" posts a small blind of 50",2025-12-09T04:18:37.490Z,176525391749004
"Your hand is 8♣, A♥",2025-12-09T04:18:37.490Z,176525391749003
"Player stacks: #1 ""failing235 @ -b3KrGCTsz"" (200000) | #2 ""Nate Higgers @ s9p1qZMXYl"" (170000)",2025-12-09T04:18:37.490Z,176525391749001
"-- starting hand #87 (id: neeag8po4fkr)  (No Limit Texas Hold'em) (dealer: ""failing235 @ -b3KrGCTsz"") --",2025-12-09T04:18:37.490Z,176525391749000
"""Nate Higgers @ s9p1qZMXYl"" shows a 3♥, 4♠.",2025-12-09T04:18:33.118Z,176525391311800
"""failing235 @ -b3KrGCTsz"" shows a 9♥.",2025-12-09T04:18:31.274Z,176525391127400
"""failing235 @ -b3KrGCTsz"" shows a 3♠.",2025-12-09T04:18:31.215Z,176525391121500
"-- ending hand #86 --",2025-12-09T04:18:30.178Z,176525391017802
"""failing235 @ -b3KrGCTsz"" collected 100 from pot",2025-12-09T04:18:30.178Z,176525391017801
"Uncalled bet of 50 returned to ""failing235 @ -b3KrGCTsz""",2025-12-09T04:18:30.178Z,176525391017800
"""Nate Higgers @ s9p1qZMXYl"" folds",2025-12-09T04:18:29.350Z,176525390935000
"""failing235 @ -b3KrGCTsz"" posts a big blind of 100",2025-12-09T04:18:27.026Z,176525390702605
"""Nate Higgers @ s9p1qZMXYl"" posts a small blind of 50",2025-12-09T04:18:27.026Z,176525390702604
"Your hand is 3♥, 4♠",2025-12-09T04:18:27.026Z,176525390702603
"Player stacks: #1 ""failing235 @ -b3KrGCTsz"" (199950) | #2 ""Nate Higgers @ s9p1qZMXYl"" (170050)",2025-12-09T04:18:27.026Z,176525390702601
"-- starting hand #86 (id: uaaw9t73idha)  (No Limit Texas Hold'em) (dealer: ""Nate Higgers @ s9p1qZMXYl"") --",2025-12-09T04:18:27.026Z,176525390702600
"""failing235 @ -b3KrGCTsz"" shows a 7♥, 2♣.",2025-12-09T04:18:22.000Z,176525390200000
"Undealt cards:  [3♣, K♥, 2♠, 9♣, 8♠]",2025-12-09T04:18:21.341Z,176525390134100
